cname,year,Civil Justice is Free of Corruption,Criminal System is Free of Corruption,Corruption Commission Present in Constitution,Civil Rights,Anti Corruption Policy,The Bayesian Corruption Indicator
,,,,2.0,10.0,9.0,21.06
,,0.89,0.83,2.0,,,20.18
,,0.88,0.85,2.0,10.0,9.0,19.32
,,0.89,0.85,2.0,,,18.4
,,0.89,0.86,2.0,10.0,9.0,17.57
,,,,2.0,,,16.77
,,0.9,0.88,2.0,10.0,9.0,15.95
,,0.89,0.88,2.0,,,15.47
,,0.9,0.87,2.0,10.0,9.0,14.98
,,0.9,0.87,,,,
,,0.9,0.88,,,,
,,,,2.0,,,-5.04
,,,,2.0,,,-5.61
,,,,2.0,,,-5.63
,,,,2.0,,,-4.8
,,,,2.0,,,-3.66
,,,,2.0,,,-2.18
,,,,2.0,,,-0.58
,,,,2.0,,,0.39
,,,,2.0,,,0.02
,,0.92,0.92,2.0,,,-0.35
,,,,2.0,,,-0.93
,,0.87,0.92,2.0,,,-1.1
,,0.92,0.92,2.0,,,-1.22
,,0.94,0.93,2.0,,,-1.4
,,0.94,0.94,2.0,,,-1.82
,,,,2.0,,,-2.24
,,0.94,0.94,2.0,,,-2.62
,,0.94,0.93,2.0,,,-3.03
,,0.94,0.93,2.0,,,-3.5
,,0.94,0.93,,,,
,,0.94,0.93,,,,
,,,,2.0,,,14.19
,,,,2.0,,,13.48
,,,,2.0,,,12.62
,,,,2.0,,,11.49
,,,,2.0,,,11.74
,,,,2.0,,,13.14
,,,,2.0,,,14.07
,,,,2.0,,,14.73
,,,,2.0,,,15.24
,,0.79,0.84,2.0,,,15.71
,,,,2.0,,,15.79
,,0.77,0.82,2.0,,,15.86
,,0.81,0.79,2.0,,,15.72
,,0.77,0.76,2.0,,,15.53
,,0.79,0.76,2.0,,,15.79
,,,,2.0,,,16.03
,,0.75,0.77,2.0,,,16.1
,,0.76,0.76,2.0,,,16.17
,,0.76,0.76,2.0,,,15.93
,,0.76,0.77,,,,
,,0.76,0.77,,,,
,,,,2.0,,,45.55
,,,,2.0,,,45.0
,,,,2.0,7.0,7.0,43.9
,,,,2.0,,,42.19
,,,,2.0,7.0,8.0,40.52
,,,,2.0,,,38.68
,,,,2.0,6.0,7.0,36.98
,,,,2.0,,,34.94
,,,,2.0,6.0,6.0,33.13
,,0.61,0.82,2.0,,,31.26
,,,,2.0,6.0,6.0,29.31
,,0.58,0.72,2.0,,,29.33
,,0.65,0.76,2.0,7.0,7.0,29.44
,,0.64,0.77,2.0,,,29.31
,,0.58,0.74,2.0,7.0,7.0,29.29
,,,,2.0,,,29.3
,,0.59,0.73,2.0,7.0,7.0,29.23
,,0.6,0.73,2.0,,,29.35
,,0.58,0.73,2.0,7.0,6.0,29.4
,,0.59,0.73,,,,
,,0.6,0.72,,,,
,,,,2.0,,,14.45
,,,,2.0,,,14.04
,,,,2.0,,,13.01
,,,,2.0,,,11.95
,,,,2.0,,,11.27
,,,,2.0,,,11.31
,,,,2.0,,,11.22
,,,,2.0,,,11.2
,,,,2.0,,,11.01
,,0.85,0.83,2.0,,,10.81
,,,,2.0,,,10.56
,,0.89,0.85,2.0,,,10.1
,,0.89,0.86,2.0,,,9.67
,,0.91,0.86,2.0,,,9.13
,,0.91,0.84,2.0,,,8.88
,,,,2.0,,,8.56
,,0.88,0.85,2.0,,,8.22
,,0.88,0.86,2.0,,,8.05
,,0.88,0.86,2.0,,,7.99
,,0.88,0.86,,,,
,,0.89,0.85,,,,
,,,,2.0,,,35.06
,,,,2.0,,,34.75
,,,,2.0,,,34.16
,,,,2.0,,,34.28
,,,,2.0,,,34.86
,,,,2.0,,,36.2
,,,,2.0,,,37.09
,,,,2.0,,,38.35
,,,,2.0,,,39.91
,,0.69,0.65,2.0,,,41.08
,,,,2.0,,,41.76
,,0.66,0.63,2.0,,,42.94
,,0.72,0.67,2.0,,,43.98
,,0.74,0.68,2.0,,,44.67
,,0.71,0.67,2.0,,,44.48
,,,,2.0,,,44.12
,,0.72,0.69,2.0,,,43.84
,,0.71,0.66,2.0,,,43.79
,,0.74,0.66,2.0,,,43.62
,,0.74,0.67,,,,
,,0.71,0.66,,,,
,,,,2.0,,,36.82
,,,,2.0,,,36.31
,,,,2.0,9.0,7.0,35.89
,,,,2.0,,,35.38
,,,,2.0,10.0,7.0,35.06
,,,,2.0,,,34.52
,,,,2.0,9.0,7.0,33.85
,,,,2.0,,,33.86
,,,,2.0,8.0,7.0,33.83
,,0.87,0.84,2.0,,,33.57
,,,,2.0,8.0,6.0,32.92
,,0.82,0.76,2.0,,,33.99
,,0.65,0.54,2.0,8.0,6.0,34.73
,,0.67,0.55,2.0,,,35.27
,,0.68,0.61,2.0,7.0,5.0,35.38
,,,,2.0,,,35.0
,,0.65,0.64,2.0,7.0,4.0,34.51
,,0.65,0.65,2.0,,,34.17
,,0.65,0.63,2.0,6.0,4.0,33.67
,,0.67,0.62,,,,
,,0.66,0.64,,,,
,,,,2.0,,,5.31
,,,,2.0,,,4.89
,,,,2.0,,,4.85
,,,,2.0,,,6.41
,,,,2.0,,,7.77
,,,,2.0,,,6.77
,,,,2.0,,,6.19
,,,,2.0,,,6.23
,,,,2.0,,,6.92
,,,,2.0,,,7.4
,,,,2.0,,,7.41
,,,,2.0,,,7.39
,,,,2.0,,,7.47
,,,,2.0,,,7.55
,,,,2.0,,,7.66
,,,,2.0,,,7.64
,,,,2.0,,,7.67
,,,,2.0,,,7.74
,,,,2.0,,,7.77
,,,,2.0,,,16.61
,,,,2.0,,,16.1
,,,,2.0,,,15.63
,,,,2.0,,,15.01
,,,,2.0,,,14.59
,,,,2.0,,,14.06
,,,,2.0,,,13.71
,,,,2.0,,,13.5
,,,,2.0,,,13.56
,,,,2.0,,,13.45
,,,,2.0,,,13.3
,,,,2.0,,,13.18
,,,,2.0,,,12.87
,,,,2.0,,,12.7
,,,,2.0,,,12.35
,,,,2.0,,,12.24
,,,,2.0,,,12.04
,,,,2.0,,,11.79
,,0.88,0.82,2.0,,,11.5
,,0.88,0.82,,,,
,,0.88,0.82,,,,
,,,,,,,29.59
,,,,,,,29.32
,,,,,,,29.07
,,,,,,,28.5
,,,,,,,28.49
,,,,,,,28.03
,,,,,,,27.26
,,,,,,,26.57
,,,,,,,26.23
,,,,,,,25.55
,,,,,,,24.9
,,,,,,,25.32
,,,,,,,25.46
,,,,,,,25.38
,,,,,,,26.05
,,,,,,,26.62
,,,,,,,26.86
,,,,,,,26.99
,,,,,,,26.95
,,,,2.0,,,33.91
,,,,2.0,,,33.49
,,,,2.0,,,33.29
,,,,2.0,,,33.1
,,,,2.0,,,34.48
,,,,2.0,,,35.81
,,,,2.0,,,36.61
,,,,2.0,,,37.54
,,,,2.0,,,38.87
,,0.73,0.76,2.0,,,39.82
,,,,2.0,,,39.98
,,0.72,0.75,2.0,,,40.47
,,0.68,0.73,2.0,,,40.44
,,0.68,0.72,2.0,,,40.06
,,0.68,0.74,2.0,,,40.13
,,,,2.0,,,40.07
,,0.67,0.75,2.0,,,39.84
,,0.66,0.75,2.0,,,39.13
,,0.66,0.75,2.0,,,38.59
,,0.69,0.75,,,,
,,0.69,0.75,,,,
,,,,2.0,,,43.26
,,,,2.0,,,42.73
,,,,2.0,9.0,5.0,42.04
,,,,2.0,,,41.31
,,,,2.0,9.0,6.0,40.65
,,,,2.0,,,39.97
,,,,2.0,9.0,6.0,39.43
,,,,2.0,,,38.92
,,,,2.0,9.0,6.0,38.15
,,,,2.0,,,37.34
,,,,2.0,9.0,6.0,36.37
,,,,2.0,,,36.31
,,,,2.0,9.0,7.0,36.19
,,,,2.0,,,35.92
,,,,2.0,9.0,7.0,35.37
,,,,2.0,,,34.81
,,,,2.0,9.0,7.0,34.26
,,,,2.0,,,33.63
,,0.7,0.67,2.0,9.0,8.0,33.06
,,0.71,0.69,,,,
,,0.72,0.69,,,,
,,,,2.0,,,48.14
,,,,2.0,,,47.8
,,,,2.0,9.0,7.0,47.54
,,,,2.0,,,46.47
,,,,2.0,10.0,7.0,45.5
,,,,2.0,,,44.41
