,year,life_ladder,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,positive_affect,negative_affect,iso3_code
4,2012,5.510124206542969,0.7845017910003662,68.16000366210938,0.6015121340751648,-0.17298804223537445,0.553473174571991,0.2713932394981384,ALB
5,2013,4.550647735595703,0.7594767212867737,68.44000244140625,0.6318302750587463,-0.13133929669857025,0.5407509803771973,0.33837857842445374,ALB
6,2014,4.81376314163208,0.6255869269371033,68.72000122070312,0.7346484065055847,-0.02880115993320942,0.5729450583457947,0.3345426619052887,ALB
7,2015,4.6066508293151855,0.6393561363220215,69.0,0.7038506865501404,-0.08498185873031616,0.5790717005729675,0.35042667388916016,ALB
8,2016,4.511100769042969,0.6384114623069763,69.0250015258789,0.7298189401626587,-0.021135902032256126,0.5670797228813171,0.32170599699020386,ALB
9,2017,4.639548301696777,0.6376982927322388,69.05000305175781,0.7496110200881958,-0.032957177609205246,0.5472404360771179,0.3338841199874878,ALB
10,2018,5.0044026374816895,0.6835916638374329,69.07499694824219,0.8242123126983643,0.0047685811296105385,0.5920446515083313,0.31899672746658325,ALB
11,2019,4.9953179359436035,0.6863648891448975,69.0999984741211,0.777351438999176,-0.10332503914833069,0.5481892824172974,0.27382737398147583,ALB
12,2020,5.364909648895264,0.7101150155067444,69.125,0.7536710500717163,0.0015586202498525381,0.5634861588478088,0.26506611704826355,ALB
13,2021,5.255481719970703,0.7018827795982361,69.1500015258789,0.8274527192115784,0.038602884858846664,0.553830087184906,0.25365447998046875,ALB
14,2022,5.212213039398193,0.7240896224975586,69.17500305175781,0.8022497892379761,-0.06995203346014023,0.5471259355545044,0.25482553243637085,ALB
15,2023,5.444690704345703,0.6907526254653931,69.19999694824219,0.8715454936027527,0.06788530200719833,0.5973492860794067,0.3142271339893341,ALB
20,2012,7.400688648223877,0.945142388343811,70.0999984741211,0.9197039008140564,0.11211855709552765,0.712149977684021,0.15667499601840973,AUT
21,2013,7.498802661895752,0.949809193611145,70.19999694824219,0.9217344522476196,0.16256439685821533,0.7250531911849976,0.16260331869125366,AUT
22,2014,6.949999809265137,0.898920476436615,70.30000305175781,0.8850268721580505,0.1119244396686554,0.7209653258323669,0.1701495498418808,AUT
23,2015,7.076447010040283,0.9281103014945984,70.4000015258789,0.9003051519393921,0.09321006387472153,0.747707724571228,0.16446903347969055,AUT
24,2016,7.04807186126709,0.9263185858726501,70.5250015258789,0.88851398229599,0.0741286501288414,0.7134508490562439,0.19742384552955627,AUT
25,2017,7.293727874755859,0.9062178134918213,70.6500015258789,0.890030562877655,0.1275908648967743,0.6988893747329712,0.18026871979236603,AUT
26,2018,7.396001815795898,0.9116681218147278,70.7750015258789,0.9041119813919067,0.047986846417188644,0.6946277022361755,0.22605879604816437,AUT
27,2019,7.195361137390137,0.9644888043403625,70.9000015258789,0.9034276604652405,0.0542902834713459,0.7273411154747009,0.20516973733901978,AUT
28,2020,7.213489055633545,0.924831211566925,71.0250015258789,0.9119098782539368,0.004416045732796192,0.7163522839546204,0.20649965107440948,AUT
29,2021,7.079640865325928,0.8629759550094604,71.1500015258789,0.7948459386825562,0.15775805711746216,0.7218652367591858,0.259080171585083,AUT
30,2022,6.998997211456299,0.8762874007225037,71.2750015258789,0.8555026054382324,0.1374349147081375,0.7176164388656616,0.22639481723308563,AUT
31,2023,6.635663986206055,0.874427318572998,71.4000015258789,0.874083399772644,0.20926827192306519,0.7124965786933899,0.23960807919502258,AUT
38,2012,5.7490434646606445,0.9019615054130554,63.41999816894531,0.6452488303184509,-0.223155677318573,0.515112578868866,0.18076452612876892,BLR
39,2013,5.876466274261475,0.9225059747695923,63.97999954223633,0.7234312891960144,-0.18338242173194885,0.5454326272010803,0.2062196582555771,BLR
40,2014,5.812400817871094,0.8802588582038879,64.54000091552734,0.6471845507621765,-0.054183706641197205,0.5750670433044434,0.2085355669260025,BLR
41,2015,5.718907833099365,0.9240726232528687,65.0999984741211,0.6227534413337708,-0.09730128198862076,0.5457346439361572,0.1843099594116211,BLR
42,2016,5.177899360656738,0.926551103591919,65.32499694824219,0.6582288146018982,-0.13147030770778656,0.5026974081993103,0.1821061223745346,BLR
43,2017,5.552915096282959,0.9002557992935181,65.55000305175781,0.6209792494773865,-0.12759390473365784,0.5017356872558594,0.23276807367801666,BLR
44,2018,5.23376989364624,0.9045692682266235,65.7750015258789,0.6436023712158203,-0.1805819272994995,0.40888357162475586,0.23572862148284912,BLR
45,2019,5.821453094482422,0.9167404770851135,66.0,0.656933605670929,-0.19221141934394836,0.5589894652366638,0.18982140719890594,BLR
51,2012,6.935122013092041,0.9271170496940613,69.5199966430664,0.8552666306495667,-0.05606037378311157,0.7181869745254517,0.23827680945396423,BEL
52,2013,7.103661060333252,0.9091861844062805,69.68000030517578,0.8907110691070557,0.010700806975364685,0.738157331943512,0.21713894605636597,BEL
53,2014,6.8553290367126465,0.9435491561889648,69.83999633789062,0.8609535098075867,-0.00464719720184803,0.7436781525611877,0.25155705213546753,BEL
54,2015,6.904219150543213,0.8852088451385498,70.0,0.8694749474525452,0.05621204525232315,0.7471033334732056,0.23995870351791382,BEL
55,2016,6.948936462402344,0.9289640784263611,70.1500015258789,0.865759015083313,-0.06168225035071373,0.7010933756828308,0.25965338945388794,BEL
56,2017,6.928347587585449,0.921639084815979,70.30000305175781,0.8568019866943359,0.04865328595042229,0.713402271270752,0.23359769582748413,BEL
57,2018,6.892171859741211,0.9298155307769775,70.44999694824219,0.8083866238594055,-0.13047930598258972,0.6817125678062439,0.25029733777046204,BEL
