,Country Name,Country Code,Year,GDP_per_capita
144,Moldova,MDA,2015,2749.55137054338
145,Monaco,MCO,2015,170437.101188261
146,Montenegro,MNE,2015,6517.19267514764
147,Netherlands,NLD,2015,45793.8135434697
148,North Macedonia,MKD,2015,5262.68671928674
149,Norway,NOR,2015,74809.9658049898
150,Poland,POL,2015,12637.5220324406
151,Portugal,PRT,2015,19215.7813014347
152,Romania,ROU,2015,8977.01748158196
153,Russian Federation,RUS,2015,9277.7138671875
154,San Marino,SMR,2015,43146.8240435428
155,Serbia,SRB,2015,5820.3215576888
156,Albania,ALB,2016,4124.05538986272
157,Andorra,AND,2016,40129.8192007698
158,Austria,AUT,2016,45061.4993920192
159,Belarus,BLR,2016,5039.77560949445
160,Belgium,BEL,2016,41854.5498296444
161,Bosnia and Herzegovina,BIH,2016,4928.5665251728
162,Bulgaria,BGR,2016,7570.93165511708
163,Croatia,HRV,2016,12821.1738140304
164,Cyprus,CYP,2016,24715.154296875
165,Czechia,CZE,2016,18753.9686718096
166,Denmark,DNK,2016,54500.9260410217
167,Estonia,EST,2016,18666.3736521706
168,Finland,FIN,2016,43451.2562442158
169,France,FRA,2016,37024.2157133669
170,Georgia,GEO,2016,4143.40125686315
171,Germany,DEU,2016,42961.0356905775
172,Greece,GRC,2016,17919.2426377048
173,Hungary,HUN,2016,13104.6995457458
174,Iceland,ISL,2016,61987.9263620283
175,Ireland,IRL,2016,64292.659966313
176,Italy,ITA,2016,31126.3246947273
177,Kosovo,XKX,2016,3759.44959067104
178,Latvia,LVA,2016,13838.5266823272
179,Liechtenstein,LIE,2016,165375.491396259
180,Lithuania,LTU,2016,14981.6208126311
181,Luxembourg,LUX,2016,106899.293549552
182,Malta,MLT,2016,26409.6285858968
183,Moldova,MDA,2016,2847.08794770479
184,Monaco,MCO,2016,173604.753555915
185,Montenegro,MNE,2016,7033.43962398373
186,Netherlands,NLD,2016,46808.5291492503
187,North Macedonia,MKD,2016,5598.48622617967
188,Norway,NOR,2016,70867.3609970749
189,Poland,POL,2016,12464.0110508476
190,Portugal,PRT,2016,19980.2808866516
191,Romania,ROU,2016,9404.54005870715
192,Russian Federation,RUS,2016,8663.158203125
193,San Marino,SMR,2016,44359.4797662688
194,Serbia,SRB,2016,5982.37030126471
195,Albania,ALB,2017,4531.03220675893
196,Andorra,AND,2017,40672.9943348258
197,Austria,AUT,2017,47163.7425775142
198,Belarus,BLR,2017,5785.53397723676
199,Belgium,BEL,2017,44035.3239358548
200,Bosnia and Herzegovina,BIH,2017,5345.01985489192
201,Bulgaria,BGR,2017,8381.88134621669
202,Croatia,HRV,2017,13902.6310485422
203,Cyprus,CYP,2017,26696.990234375
204,Czechia,CZE,2017,20913.197632212
205,Denmark,DNK,2017,57521.5514992225
206,Estonia,EST,2017,20851.5223496861
207,Finland,FIN,2017,46085.0174739036
208,France,FRA,2017,38687.1626407164
209,Georgia,GEO,2017,4418.75206546679
210,Germany,DEU,2017,45526.5999576533
211,Greece,GRC,2017,18631.9930129293
212,Hungary,HUN,2017,14621.2395956755
213,Iceland,ISL,2017,72010.1490316258
214,Ireland,IRL,2017,72499.3268743015
215,Italy,ITA,2017,32554.14668453
216,Kosovo,XKX,2017,4009.31799347588
217,Latvia,LVA,2017,15132.4958333982
218,Liechtenstein,LIE,2017,170547.092298954
219,Lithuania,LTU,2017,16884.7100319318
220,Luxembourg,LUX,2017,110193.213797228
221,Malta,MLT,2017,30259.3952629768
222,Moldova,MDA,2017,3453.26727720294
223,Monaco,MCO,2017,170663.375247872
224,Montenegro,MNE,2017,7803.35824465203
225,Netherlands,NLD,2017,49513.6817346384
226,North Macedonia,MKD,2017,5955.2973863451
227,Norway,NOR,2017,76131.8384032764
228,Poland,POL,2017,13913.3402919927
229,Portugal,PRT,2017,21442.3842768879
230,Romania,ROU,2017,10727.9822007426
231,Russian Federation,RUS,2017,10658.9130859375
232,San Marino,SMR,2017,45192.0279766943
233,Serbia,SRB,2017,6548.03653824187
234,Albania,ALB,2018,5365.48934672897
235,Andorra,AND,2018,42819.7745797624
236,Austria,AUT,2018,51194.0749841299
237,Belarus,BLR,2018,6360.05310087258
238,Belgium,BEL,2018,47487.2100392561
239,Bosnia and Herzegovina,BIH,2018,6047.84584261133
240,Bulgaria,BGR,2018,9436.14479876055
241,Croatia,HRV,2018,15460.4183295843
242,Cyprus,CYP,2018,29599.986328125
243,Czechia,CZE,2018,23705.9329811299
244,Denmark,DNK,2018,61324.7665045565
245,Estonia,EST,2018,23618.1361254581
246,Finland,FIN,2018,49654.2497035329
247,France,FRA,2018,41418.1766484844
248,Georgia,GEO,2018,4804.0546040444
249,Germany,DEU,2018,48874.8595028454
250,Greece,GRC,2018,19873.4015238771
251,Hungary,HUN,2018,16425.2050299693
252,Iceland,ISL,2018,74452.1890731447
253,Ireland,IRL,2018,81248.3135388
254,Italy,ITA,2018,34746.3441392416
255,Kosovo,XKX,2018,4384.18624084947
256,Latvia,LVA,2018,17252.1710428626
257,Liechtenstein,LIE,2018,174988.775083446
258,Lithuania,LTU,2018,19368.5391045353
259,Luxembourg,LUX,2018,116786.511654677
260,Malta,MLT,2018,33332.1905601302
261,Moldova,MDA,2018,4156.44981956646
262,Monaco,MCO,2018,188298.315668437
263,Montenegro,MNE,2018,8850.3749248372
264,Netherlands,NLD,2018,53955.0770024266
265,North Macedonia,MKD,2018,6713.98925398989
266,Norway,NOR,2018,82792.8427113304
267,Poland,POL,2018,15658.2120316794
268,Portugal,PRT,2018,23541.1401075289
269,Romania,ROU,2018,12502.2624061935
270,Russian Federation,RUS,2018,11211.8876953125
271,San Marino,SMR,2018,47950.6880557136
272,Serbia,SRB,2018,7559.86165747394
273,Albania,ALB,2019,5460.42823730592
274,Andorra,AND,2019,41257.8045846483
275,Austria,AUT,2019,49885.9947355204
276,Belarus,BLR,2019,6837.76832136779
277,Belgium,BEL,2019,46716.6227467964
278,Bosnia and Herzegovina,BIH,2019,6122.3753450882
279,Bulgaria,BGR,2019,9838.60058985384
280,Croatia,HRV,2019,15563.8167397199
281,Cyprus,CYP,2019,29703.052734375
282,Czechia,CZE,2019,24062.7190013343
283,Denmark,DNK,2019,59404.2663247723
284,Estonia,EST,2019,24021.2501413306
285,Finland,FIN,2019,48358.1807773701
286,France,FRA,2019,40408.2848574751
287,Georgia,GEO,2019,4741.2832715876
288,Germany,DEU,2019,47623.8656074829
289,Greece,GRC,2019,19335.3602002969
290,Hungary,HUN,2019,16786.2136399075
291,Iceland,ISL,2019,68452.23622306
292,Ireland,IRL,2019,82508.4659883582
293,Italy,ITA,2019,33812.788724868
294,Kosovo,XKX,2019,4415.99716107514
295,Latvia,LVA,2019,17294.9751600969
296,Liechtenstein,LIE,2019,166907.839305016
297,Lithuania,LTU,2019,19727.7607453736
298,Luxembourg,LUX,2019,112726.439672814
299,Malta,MLT,2019,32412.2697818499
300,Moldova,MDA,2019,4405.33418162155
301,Monaco,MCO,2019,193746.785647412
302,Montenegro,MNE,2019,8909.6538759126
303,Netherlands,NLD,2019,53554.9007491475
304,North Macedonia,MKD,2019,6718.85826635458
305,Norway,NOR,2019,76430.5889473338
306,Poland,POL,2019,15874.5220531254
307,Portugal,PRT,2019,23343.3628970034
308,Romania,ROU,2019,12992.0326104674
309,Russian Federation,RUS,2019,11447.701171875
310,San Marino,SMR,2019,46627.0122356944
311,Serbia,SRB,2019,7755.632986437
312,Albania,ALB,2020,5370.77862312929
313,Andorra,AND,2020,37361.0900666982
314,Austria,AUT,2020,48716.4098900349
315,Belarus,BLR,2020,6542.8645398436
316,Belgium,BEL,2020,45906.2875805246
