country,year,Corruption Commission Present in Constitution,The Bayesian Corruption Indicator,Corruption Perceptions Index Rank,Corruption Perceptions Index Score,Corruption Perceptions Index Sources,Corruption Perceptions Index Standard Error,gdp,Regional Indicator,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Confidence In National Government,trade_in_services%,control_of_corruption_estimate,access_to_electricity%,renewvable_energy_consumption%,CO2_emisions,population_density,inflation_annual%,research_and_development_expenditure%,expense%,goverment_effectiveness_estimate,individuals_using_internet%,military_expenditure%,political_stability_estimate,rule_of_law_estimate,regulatory_quality_estimate,government_expenditure_on_education%,government_health_expenditure%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,intentional_homicides
Austria,2013,"2,00","16,91",26.0,69.0,8.0,3.2,34911.4,Western Europe,7.498802662,10.87800503,0.949809194,70.19999695,0.921734452,0.164262667,0.678936899,0.417099237,26.8756556438667,1.53724098205566,100.0,34.58,65752.7,102.760821619001,2.00015616900597,2.95492005348206,46.6216222891406,1.57191109657288,80.6188,0.750825383084571,1.36410057544708,1.83403825759888,1.48221373558044,5.54711008071899,7.4231286,30.8,9.4,9.4,81.1365853658537,8479823.0,3617832.0,1.45656740665436,0.719378730376734
Austria,2014,"2,00","16,66",23.0,72.0,7.0,3.49,35274.6,Western Europe,6.949999809,10.87678051,0.898920476,70.30000305,0.885026872,0.113623381,0.566931307,0.407695413,27.9790923754105,1.46674907207489,100.0,35.67,62054.5,103.567086766844,1.60581182954474,3.08429002761841,47.5011876922336,1.55362224578857,80.99582496,0.747780095379783,1.27070045471191,1.93850040435791,1.48217010498047,5.44761991500854,7.51863861,30.5,9.6,9.2,81.490243902439,8546356.0,3629979.0,1.3913494348526,0.491454225339134
Austria,2015,"2,00","16,25",16.0,76.0,7.0,1.76,35900.8,Western Europe,7.07644701,10.87566471,0.928110301,70.40000153,0.900305152,0.094909608,0.55747962,0.454789877,27.954980513294,1.47238004207611,100.0,34.82,63254.7,104.734597673291,0.89656333526032,3.04969000816345,46.2684510027225,1.45145058631897,83.94014193,0.698116413133988,1.12933051586151,1.81485080718994,1.3904470205307,5.45658016204834,7.51185322,30.5,9.8,9.6,81.190243902439,8642699.0,3654565.0,1.3835529088974,0.509116600545148
Austria,2016,"2,00","15,78",17.0,75.0,7.0,1.36,37613.2,Western Europe,7.048071861,10.88454914,0.926318586,70.52500153,0.888513982,0.075823404,0.52364099,0.432638228,28.0873097899546,1.49696803092957,100.0,34.63,63697.1,105.873339796413,0.891591752655362,3.11654996871948,44.9967848869132,1.47535490989685,84.32374257,0.729737691793485,0.8921759724617,1.76159679889679,1.42889010906219,5.4796199798584,7.49085999,30.8,10.0,9.2,81.6414634146342,8736668.0,3677700.0,1.33747661113739,0.618097446839757
Austria,2017,"2,00","15,52",16.0,75.0,8.0,1.17,38740.6,Western Europe,7.293727875,10.89993763,0.906217813,70.65000153,0.890030563,0.129277334,0.518303812,0.43590793,29.4715404531058,1.50046288967133,100.0,33.97,65867.7,106.61131846825,2.08126911385587,3.05656003952026,44.3298871104373,1.46740829944611,87.93558659,0.757279033702098,1.02962338924408,1.79901742935181,1.42753410339355,5.37159013748169,7.66504908,29.7,10.0,9.5,81.6439024390244,8797566.0,3686708.0,1.38591921329498,0.795680952852948
Austria,2018,"2,00","15,18",14.0,76.0,8.0,1.37,40263.1,Western Europe,7.396001816,10.91903114,0.911668122,70.77500153,0.904111981,0.049663041,0.52306056,0.488678724,30.7575878705068,1.56836605072021,100.0,34.08,63131.4,107.131858943286,1.9983798142954,3.09182000160217,43.7247103743727,1.45610499382019,87.47913723,0.745028039648345,0.884671747684479,1.85344958305359,1.5240364074707,5.22655010223389,7.705019,30.8,9.7,9.5,81.6926829268293,8840521.0,3686762.0,1.39915668964386,0.972794280874553
Austria,2019,"2,00","14,91",12.0,77.0,8.0,1.57,42719.9,Western Europe,7.195361137,10.92964458,0.964488804,70.90000153,0.90342766,0.055960763,0.457088888,0.512338281,32.0430703699645,1.521409034729,100.0,33.98,64497.8,107.609306834707,1.53089564152644,3.13246989250183,43.555519050758,1.49224412441254,87.75220479,0.75035965749035,0.892080426216125,1.86225032806396,1.44640731811523,5.21750020980835,7.84675264,30.2,9.6,9.4,81.8951219512195,8879920.0,3683835.0,1.33687436580658,0.867123024880969
Austria,2020,"2,00","14,65",15.0,76.0,8.0,0.67,41492.7,Western Europe,7.213489056,10.85877609,0.924831212,71.02500153,0.911909878,0.006124678,0.463830173,0.626177847,27.7381472363749,1.47778916358948,100.0,35.77,59142.4,108.057004362579,1.38191063351862,3.20148992538452,50.5746511721568,1.60626363754272,87.52942813,0.884127145088915,0.887528836727142,1.77016341686249,1.39522731304169,5.56900978088379,8.763134,29.8,9.4,10.3,81.1926829268293,8916864.0,3678385.0,1.39443778991699,0.729699452512114
Austria,2021,"2,00","14,37",13.0,74.0,8.0,0.83,45455.4,Western Europe,7.079640865,10.89898014,0.862975955,71.15000153,0.794845939,0.159445032,0.500808597,0.61045897,28.6219558833059,1.24299263954163,100.0,,,108.528805138148,2.7666666666667,3.25631999969482,50.0833897976174,1.53002023696899,92.52915104,0.873694846766333,0.899418652057648,1.75251877307892,1.34041571617126,4.98649978637695,,30.7,9.6,10.3,81.2390243902439,8955797.0,3672325.0,1.38676011562347,0.728529506902089
Austria,2022,,,22.0,71.0,8.0,1.53,50773.4,Western Europe,6.998997211,10.93891716,0.876287401,71.27500153,0.855502605,0.139042094,0.524212122,,33.4449170518288,1.25861942768097,,,,,8.5468699318845,,,1.46545016765594,93.61409139,0.772607157386914,0.637995362281799,1.70585024356842,1.28319978713989,,,,,,,9041851.0,3684012.0,1.40876078605652,
