,ISO3 Code,Year,Rule_of_law,Gov_effectiveness,Control_of_corruption,Fdi,Gdp_per_capita,Gini,Unemployement,Political_stability
29,BEL,2017,1.32062590122223,1.24078404903412,1.40419495105743,-7.44423790176632,44035.3239358548,27.4,7.09,0.41760727763176
30,BEL,2018,1.33859252929688,1.22463178634644,1.42957329750061,-7.66649538713467,47487.2100392561,27.2,5.941,0.393769443035126
31,BEL,2019,1.3361576795578,1.11331832408905,1.44879794120789,-1.97252997818916,46716.6227467964,27.2,5.364,0.458395332098007
32,BEL,2020,1.32759404182434,1.07823526859283,1.44580173492432,-5.74235227142936,45906.2875805246,26.0,5.545,0.521078526973724
33,BEL,2021,1.29177582263947,1.08557260036469,1.45520210266113,5.90607720952822,51655.7883303715,26.6,6.248,0.662682592868805
34,BEL,2022,1.34823083877563,1.22718644142151,1.49497354030609,2.00105702528312,50807.2047084918,27.45,5.57,0.581981599330902
35,BEL,2023,1.29537487030029,1.03702199459076,1.3368444442749,-0.430551198512578,54700.9093236712,27.45,5.528,0.403853088617325
36,BGR,2012,-0.115051358938217,-0.0283869281411171,-0.281460791826248,3.2937399637389,7430.7373804242,36.0,12.27,0.379833996295929
37,BGR,2013,-0.147255629301071,-0.0132329864427447,-0.327892512083054,3.56126116234701,7687.71368243317,36.6,12.941,0.170710384845734
38,BGR,2014,-0.0820291489362717,-0.112378895282745,-0.303166449069977,1.91330024420873,7912.27484371138,37.4,11.424,0.0785408988595009
39,BGR,2015,-0.159493550658226,-0.0125585971400142,-0.346440643072128,4.37178262709924,7078.86032298969,38.6,9.143,0.010424641892314
40,BGR,2016,-0.140443801879883,0.0888326391577721,-0.260855674743652,2.75817770359404,7570.93165511708,40.6,7.575,0.0682793706655502
41,BGR,2017,-0.1249605640769,0.0980096459388733,-0.196330279111862,3.3844183495399,8381.88134621669,40.4,6.164,0.321379661560059
42,BGR,2018,-0.105849832296371,0.111848846077919,-0.188220024108887,2.73024593526346,9436.14479876055,41.3,5.211,0.444411188364029
43,BGR,2019,-0.0374133922159672,0.173703476786613,-0.181220516562462,3.23647694746529,9838.60058985384,40.3,4.23,0.561284422874451
44,BGR,2020,-0.127672985196114,-0.214027836918831,-0.3223497569561,4.68157355237615,10198.5388313404,40.5,5.125,0.401631027460098
45,BGR,2021,-0.068868450820446,-0.173440277576447,-0.258131921291351,2.76635474460295,12274.0775950496,39.0,5.267,0.36473935842514
46,BGR,2022,-0.107922710478306,-0.271232962608337,-0.158206030726433,5.46200820001027,13644.201582807,39.65,4.268,0.313428640365601
47,BGR,2023,-0.0068576806224882,0.047112051397562,-0.137721657752991,3.9628971861931,15885.5391311331,39.65,4.319,0.341861486434937
48,BIH,2012,-0.197178289294243,-0.454691231250763,-0.309364050626755,2.27539881306156,4693.78899115381,31.6,28.01,-0.538148701190948
49,BIH,2013,-0.139407932758331,-0.433313488960266,-0.244675368070602,1.72337938246778,5034.56616016469,31.6,27.49,-0.404944121837616
50,BIH,2014,-0.132231548428535,-0.492096722126007,-0.300066590309143,2.93590262269064,5206.06558252,31.6,27.517,-0.0191790424287319
51,BIH,2015,-0.264572232961655,-0.624794006347656,-0.417883574962616,2.33529302949791,4662.25883724069,31.6,27.695,-0.404167622327805
52,BIH,2016,-0.193005457520485,-0.452135771512985,-0.486797899007797,1.82975697484525,4928.5665251728,31.6,25.408,-0.402664005756378
53,BIH,2017,-0.201813697814941,-0.519017219543457,-0.554221451282501,2.77975919041996,5345.01985489192,31.6,20.527,-0.351469874382019
54,BIH,2018,-0.225580662488937,-0.670872628688812,-0.606174349784851,2.93781358415463,6047.84584261133,31.6,18.4,-0.400853604078293
55,BIH,2019,-0.225809708237648,-0.706423223018646,-0.647259771823883,2.18661377542075,6122.3753450882,31.6,15.692,-0.424811691045761
