,iso3_code,country,year,corruption_perceptions_index_score,rule_of_law,gov_effectiveness,control_of_corruption,fdi,gdp_per_capita,gini,unemployement,political_stability,life_ladder,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,positive_affect,negative_affect,burglary,fraud,money_laundering,smuggling_of_migrants,theft,theft_of_a_motorized_vehicle
180,GBR,United Kingdom,2012,74.0,1.72941386699677,1.59121036529541,1.66546046733856,1.72697599448212,42497.3404974322,33.1,8.279,0.40227073431015,6.880784034729004,0.9345749616622925,69.5199966430664,0.8889704942703247,0.36585235595703125,0.7386267185211182,0.1842445284128189,,,,,,
181,GBR,United Kingdom,2013,76.0,1.68938088417053,1.51226651668549,1.71889758110046,1.95605174026818,43426.2981405143,32.7,7.752,0.48620143532753,6.918055057525635,0.9368841052055359,69.58000183105469,0.9052780270576477,0.3410728871822357,0.7189127802848816,0.2520957887172699,778.271787872455,,,,2329.57024879562,132.239406426493
182,GBR,United Kingdom,2014,78.0,1.87468194961548,1.62349116802216,1.74633920192719,1.92156774768545,47439.6165895125,33.1,6.398,0.415347635746002,6.758147716522217,0.9102473258972168,69.63999938964844,0.8570396900177002,0.3491040766239166,0.7402334809303284,0.2511403262615204,716.675921368928,,,,2208.57817011352,131.990553201265
183,GBR,United Kingdom,2015,81.0,1.77068817615509,1.70522773265839,1.83126831054688,1.54832168533284,44964.3911437292,33.3,5.552,0.503706395626068,6.515445232391357,0.9359857439994812,69.69999694824219,0.8329260945320129,0.29444020986557007,0.7395622730255127,0.21926185488700867,692.751384532749,1069.61662344881,0.0,,2345.25924519188,141.42768576256
184,GBR,United Kingdom,2016,81.0,1.63999843597412,1.57377743721008,1.85051727294922,12.0788528134648,40985.2351382417,33.1,4.909,0.347932636737823,6.824283599853516,0.9540681838989258,69.80000305175781,0.8211921453475952,0.24446599185466766,0.7324212193489075,0.22958678007125854,705.853733744536,1117.41761053046,0.0,,2513.64921015607,166.416537702529
185,GBR,United Kingdom,2017,82.0,1.64506530761719,1.4309287071228,1.81427049636841,4.67730914435461,40572.1214823783,32.6,4.501,0.380680292844772,7.103273391723633,0.9374952912330627,69.9000015258789,0.8127332925796509,0.2850033938884735,0.7124046683311462,0.2095724195241928,745.004710646145,1086.66678185457,,,2677.69996541809,190.694990747659
186,GBR,United Kingdom,2018,80.0,1.60317921638489,1.36169874668121,1.80687081813812,-0.872604333652357,43203.8141057739,33.7,4.145,0.0770855620503426,7.233445167541504,0.9284839034080505,70.0,0.8375083804130554,0.21979162096977234,0.7362332344055176,0.2282756119966507,715.324728111223,1172.98234047681,,,2694.92717252673,203.184227758771
187,GBR,United Kingdom,2019,77.0,1.56992924213409,1.44982588291168,1.7486674785614,0.694070007703284,42662.5353740311,32.8,3.657,0.526694297790527,7.157151222229004,0.942681074142456,70.0999984741211,0.8540395498275757,0.26392683386802673,0.7387860417366028,0.25101444125175476,645.883299820457,1303.05868925623,,,,200.056056678484
188,GBR,United Kingdom,2020,77.0,1.46396434307098,1.33215415477753,1.66020119190216,5.82864205974736,40201.6812422928,32.6,4.518,0.483050256967545,6.798177242279053,0.9293532371520996,70.19999694824219,0.8846240043640137,0.1955483853816986,0.7174813151359558,0.2246551215648651,448.128326915911,1387.08611580321,,,,156.847677326841
189,GBR,United Kingdom,2021,78.0,1.39551365375519,1.23967301845551,1.64058411121368,0.160847823124997,46896.8662432834,32.4,4.865,0.489994138479233,6.86696195602417,0.8540295958518982,70.30000305175781,0.8150771856307983,0.2518331706523895,0.683882474899292,0.26562589406967163,446.801953892531,1619.46600955684,,,,189.930639090408
