Country,year,Corruption,Corruption: Bribery,Corruption: Other acts of corruption,Fraud,Money laundering
Albania,2012,,,,,
Albania,2013,,,,,
Albania,2014,,,,,
Albania,2015,35.9065679877855,7.42415995109768,28.4824080366878,25.5335594579808,11.8300866510482
Albania,2016,35.8201122294098,8.88560923520242,26.9345029942073,31.6896923114836,12.6689350423785
Albania,2017,40.0784203406666,10.3148100876759,29.7636102529907,35.3551403005187,13.1626701118827
Albania,2018,35.9052948318273,9.52376648975865,26.3815283420687,32.7075338206675,12.200153423012
Albania,2019,46.2788338012251,10.6128152702058,35.6660185310193,30.4118050693765,13.9532423716476
Albania,2020,29.5446324518661,5.61592187101588,23.9287105808503,27.8354388389483,14.5455864609542
Albania,2021,34.2241418567911,9.21284473729381,25.0112971194973,32.2624714944775,13.7316925361946
Albania,2022,41.5153671946272,17.3801621984287,24.1352049961985,34.0918566199947,16.711694421566
Austria,2012,,,,,
Austria,2013,40.5564500617309,0.259448066693248,40.2970019950377,409.468014711649,3.96247956404234
Austria,2014,36.5665324840693,0.772285166063543,35.7942473180057,347.071974403193,4.98474970822832
Austria,2015,30.97511681044,0.161991645628002,30.813125164812,336.67649377414,5.2878701465712
Austria,2016,36.0671285838347,0.22892496720936,35.8382036166253,372.49526039471,6.43279157858302
Austria,2017,36.4762882529302,0.341006122651264,36.1352821302789,398.408819964226,7.0701936096362
Austria,2018,35.212888663814,0.271477458378264,34.9414112054357,428.244379030945,7.53349946999682
Austria,2019,35.5633033556533,0.427930819352383,35.1353725363009,558.866388736861,4.84237506109276
Austria,2020,32.320072673575,0.415367380660742,31.9047052929143,610.814572479756,5.91617863805975
Austria,2021,32.6717463479937,0.638864336821832,32.0328820111718,643.426052349665,8.31644452494384
Austria,2022,34.5093083965454,1.6555519101098,32.8537564864356,787.830172142722,8.44555197387092
Belarus,2012,,,,,
Belarus,2013,,,,,
Belarus,2014,,,,,
Belarus,2015,,11.4631978260334,,,
Belarus,2016,,12.9170353446757,,,
Belarus,2017,,19.7983575397955,,,
Belarus,2018,,20.6176550248598,,,
Belarus,2019,,19.3922433714139,,,
Belgium,2012,,,,,
Belgium,2013,,,,,
Belgium,2014,58.3534189762062,0.885769469280039,57.4676495069261,,
Belgium,2015,54.6926896712607,0.800120622628976,53.8925690486317,475.520576257541,7.60114591497527
Belgium,2016,45.4720736431985,0.821784463431298,44.6502891797672,491.276890466558,7.79369781447747
Belgium,2017,40.3707148936843,0.878388052517065,39.4923268411672,509.421151057272,7.94941187527944
Belgium,2018,41.3063750349825,0.847265463817572,40.4591095711649,576.935372686747,11.8267777114329
Belgium,2019,41.4836174895974,0.825328515499843,40.6582889740975,689.279625471132,19.7383830233226
Belgium,2020,37.1657600683359,0.588147936850556,36.5776121314853,808.789905513169,47.7783706347422
Belgium,2021,40.5290653511801,0.61146698681126,39.9175983643689,,
Bosnia and Herzegovina,2012,,,,,
Bosnia and Herzegovina,2013,,,,,
Bosnia and Herzegovina,2014,,,,,
Bosnia and Herzegovina,2015,,,,,
