,Alpha3Code,CountryName,year,gdp
218,CYP,Cyprus,2014,25871.0
219,CYP,Cyprus,2015,26850.5
220,CYP,Cyprus,2016,29060.5
221,CYP,Cyprus,2017,30712.9
222,CYP,Cyprus,2018,32596.9
223,CYP,Cyprus,2019,35863.9
224,CYP,Cyprus,2020,34995.4
225,CYP,Cyprus,2021,37665.5
226,CYP,Cyprus,2022,43151.3
227,CYP,Cyprus,2023,47053.9
228,CZE,Czechia,2005,15090.1
229,CZE,Czechia,2006,16029.7
230,CZE,Czechia,2007,17157.9
231,CZE,Czechia,2008,18592.1
232,CZE,Czechia,2009,19218.5
233,CZE,Czechia,2010,19697.5
234,CZE,Czechia,2011,20360.9
235,CZE,Czechia,2012,20516.2
236,CZE,Czechia,2013,21722.7
237,CZE,Czechia,2014,22430.6
238,CZE,Czechia,2015,22934.5
239,CZE,Czechia,2016,24634.0
240,CZE,Czechia,2017,26661.8
241,CZE,Czechia,2018,28688.6
242,CZE,Czechia,2019,31251.7
243,CZE,Czechia,2020,31300.3
244,CZE,Czechia,2021,34087.8
245,CZE,Czechia,2022,36308.6
246,CZE,Czechia,2023,37395.3
247,DNK,Denmark,2005,24819.0
248,DNK,Denmark,2006,26855.3
249,DNK,Denmark,2007,28174.0
250,DNK,Denmark,2008,30065.7
251,DNK,Denmark,2009,30932.9
252,DNK,Denmark,2010,32449.0
253,DNK,Denmark,2011,33271.9
254,DNK,Denmark,2012,33559.4
255,DNK,Denmark,2013,34889.7
256,DNK,Denmark,2014,35142.4
257,DNK,Denmark,2015,35681.0
258,DNK,Denmark,2016,37453.5
259,DNK,Denmark,2017,39555.4
260,DNK,Denmark,2018,41386.8
261,DNK,Denmark,2019,43672.6
262,DNK,Denmark,2020,44891.7
263,DNK,Denmark,2021,49372.5
264,DNK,Denmark,2022,51454.9
265,DNK,Denmark,2023,53301.7
266,EST,Estonia,2005,11813.9
267,EST,Estonia,2006,13500.4
268,EST,Estonia,2007,15140.0
269,EST,Estonia,2008,16345.4
270,EST,Estonia,2009,15115.4
271,EST,Estonia,2010,15541.0
272,EST,Estonia,2011,16916.8
273,EST,Estonia,2012,18146.4
274,EST,Estonia,2013,19583.3
275,EST,Estonia,2014,20515.2
276,EST,Estonia,2015,21277.5
277,EST,Estonia,2016,22924.8
278,EST,Estonia,2017,24217.3
279,EST,Estonia,2018,25979.0
280,EST,Estonia,2019,28437.8
281,EST,Estonia,2020,29065.8
282,EST,Estonia,2021,31630.2
283,EST,Estonia,2022,35129.4
284,EST,Estonia,2023,36820.2
285,FIN,Finland,2005,22768.3
286,FIN,Finland,2006,24503.5
287,FIN,Finland,2007,26241.4
288,FIN,Finland,2008,28411.5
289,FIN,Finland,2009,28936.3
290,FIN,Finland,2010,29565.4
291,FIN,Finland,2011,31148.2
292,FIN,Finland,2012,31774.1
293,FIN,Finland,2013,32501.9
294,FIN,Finland,2014,32825.3
295,FIN,Finland,2015,33275.4
296,FIN,Finland,2016,34652.0
297,FIN,Finland,2017,35633.8
298,FIN,Finland,2018,37015.7
299,FIN,Finland,2019,39118.0
300,FIN,Finland,2020,39783.9
301,FIN,Finland,2021,43099.8
302,FIN,Finland,2022,46531.9
303,FIN,Finland,2023,49685.8
304,FRA,France,2005,23691.2
305,FRA,France,2006,25168.5
306,FRA,France,2007,26285.6
307,FRA,France,2008,27208.6
308,FRA,France,2009,27750.3
309,FRA,France,2010,28707.1
310,FRA,France,2011,29774.2
311,FRA,France,2012,29939.6
312,FRA,France,2013,31466.4
313,FRA,France,2014,31863.8
314,FRA,France,2015,32183.5
315,FRA,France,2016,33849.1
316,FRA,France,2017,34994.5
317,FRA,France,2018,36354.7
318,FRA,France,2019,39681.5
319,FRA,France,2020,39035.9
320,FRA,France,2021,41898.5
321,FRA,France,2022,45474.5
322,FRA,France,2023,48469.3
323,GEO,Georgia,2005,..
324,GEO,Georgia,2006,..
325,GEO,Georgia,2007,..
326,GEO,Georgia,2008,..
327,GEO,Georgia,2009,..
328,GEO,Georgia,2010,7388.5
329,GEO,Georgia,2011,8103.1
330,GEO,Georgia,2012,9298.2
331,GEO,Georgia,2013,9742.4
332,GEO,Georgia,2014,10704.0
333,GEO,Georgia,2015,11026.1
334,GEO,Georgia,2016,11239.5
335,GEO,Georgia,2017,11757.9
336,GEO,Georgia,2018,12397.7
337,GEO,Georgia,2019,13757.2
338,GEO,Georgia,2020,15865.0
339,GEO,Georgia,2021,18078.4
340,GEO,Georgia,2022,19227.0
341,GEO,Georgia,2023,20382.6
342,DEU,Germany,2005,25002.3
343,DEU,Germany,2006,26420.6
344,DEU,Germany,2007,27305.8
345,DEU,Germany,2008,28655.6
346,DEU,Germany,2009,29501.7
347,DEU,Germany,2010,30489.7
348,DEU,Germany,2011,32051.6
349,DEU,Germany,2012,32932.6
350,DEU,Germany,2013,34148.7
351,DEU,Germany,2014,35141.0
352,DEU,Germany,2015,35496.6
353,DEU,Germany,2016,37647.0
354,DEU,Germany,2017,39176.6
355,DEU,Germany,2018,40821.7
356,DEU,Germany,2019,43303.8
357,DEU,Germany,2020,42833.7
358,DEU,Germany,2021,45563.3
359,DEU,Germany,2022,50602.9
360,DEU,Germany,2023,52319.0
361,GRC,Greece,2005,21553.9
362,GRC,Greece,2006,23382.4
363,GRC,Greece,2007,24377.0
364,GRC,Greece,2008,26389.1
365,GRC,Greece,2009,26952.9
366,GRC,Greece,2010,24848.5
367,GRC,Greece,2011,23535.9
368,GRC,Greece,2012,22666.0
369,GRC,Greece,2013,23206.0
370,GRC,Greece,2014,23611.3
371,GRC,Greece,2015,23651.7
372,GRC,Greece,2016,24432.5
373,GRC,Greece,2017,25651.6
374,GRC,Greece,2018,26521.8
375,GRC,Greece,2019,28533.5
376,GRC,Greece,2020,27717.4
